lng,lat
16.24499,48.20258
16.36568,48.28144
16.40215924,48.18721872
16.4043548,48.2215398
16.3585947,48.2111492
16.3725518,48.2218937
16.2772308,48.1981824
16.3288133,48.1834732
16.33572,48.22451
16.34683,48.17192
16.4794753,48.2462037
16.43859649,48.23672367
16.4589109,48.2657556
16.3497,48.19781
16.2713023,48.1898478
16.30309,48.14353
16.3778719,48.2371933
16.39774452,48.26468815
16.3843428,48.2112194
16.2377283,48.2164657
16.2821197,48.1358751
16.3339951,48.2209345
16.3846626,48.2757785
16.39406208,48.21782178
16.25493,48.19918
16.38754,48.20723
16.38717,48.26946
16.48007,48.21963
16.3193624,48.1518223
16.34333,48.22227
16.3452461,48.1977441
16.39946,48.22322
16.3898,48.26833
16.34593,48.1968
16.4357827,48.25109433
16.4073287,48.2157117
16.4444163,48.2439794
16.3219761,48.1972679
16.35073,48.19799
16.35492578,48.22862286
16.365119,48.2316632
16.3403618,48.1907862
16.3769218,48.2172041
16.3427227,48.2228029
16.27542,48.19503
16.3076574,48.2023884
16.3930348,48.181277
16.26127,48.1976
16.30364372,48.20972097
16.32278,48.21865
16.37652,48.18542
16.3103914,48.1278128
16.31604,48.22065
16.3482513,48.1976235
16.2670693,48.1968546
16.2570483,48.1434973
16.40106,48.2644
16.39271,48.18272
16.3500267,48.224097
16.3361972,48.1772881
16.2866152,48.214726
16.3732382,48.2132251
16.29969,48.13732
16.39541,48.22322
16.42625,48.15742
16.3313051,48.1721645
16.4019084,48.1870609
16.34904,48.20762
16.41036,48.25726
16.5356,48.20815
16.34992,48.19763
16.398357,48.2233587
16.2742293,48.1370513
16.35762,48.21602
16.3798027,48.2068
16.3968274,48.2268403
16.32663,48.13949
16.39271,48.16472
16.34638,48.21964
16.3068384,48.2197745
16.4048583,48.21152115
16.46206677,48.24528921
16.2886576,48.1324926
16.34128,48.20339
16.39926,48.22369
16.37086,48.22181
16.4380415,48.2770845
16.4096913,48.1878206
16.3428,48.14823
16.39406208,48.18181818
16.3848339,48.2370364
16.3520587,48.19843
16.31632,48.22009
16.41296,48.19352
16.3133505,48.2015101
16.31978,48.15554
16.35493,48.22142
16.3873136,48.1905113
16.2757252,48.1752899
16.3443649,48.2131147
16.40215924,48.22682268
16.3513157,48.2096929
16.27445,48.13711
16.4142065,48.2929057
16.4021891,48.1869112
16.32252,48.20781
16.36572,48.19982
16.38462,48.29523
16.3976527,48.2234345
16.4383847,48.2332894
16.46153846,48.1980198
16.33552,48.22413
16.35481,48.22831
16.41659,48.29249
16.35182318,48.19149568
16.4004058,48.1791425
16.45802,48.26093
16.36345,48.18986
16.2979584,48.2264476
16.37825,48.21077
16.4022749,48.1905236
16.35628,48.23492
16.2743154,48.1370235
16.3401736,48.1946451
16.4292,48.16583
16.345008,48.1681787
16.40081,48.19982
16.3718894,48.2211294
16.4857394,48.2244236
16.36707,48.22322
16.35628,48.17192
16.44408,48.27569
16.33647,48.2026
16.3823445,48.2367163
16.4059579,48.2239816
16.38445898,48.21080971
16.3709206,48.2390978
16.33463402,48.22530492
16.3759425,48.1782879
16.365722,48.20072007
16.41503,48.18324
16.3846871,48.2184265
16.39938,48.26674
16.3327755,48.2030364
16.30761,48.20224
16.3942608,48.1817726
16.39394296,48.14930881
16.34548,48.23672
16.36324,48.19172
16.4133843,48.2345128
16.3325218,48.1716188
16.38565,48.2398
16.36302,48.19802
16.2674639,48.1678327
